place,Jurisdiction,Age,Females,Males,year
463,Jamestown,5-9,2.0,8,2016.0
464,Keenesburg,5-9,33.0,33,2016.0
465,Kiowa,5-9,22.0,33,2016.0
466,Lafayette,5-9,693.0,909,2016.0
467,Lakeside,5-9,0.0,0,2016.0
468,Lakewood,5-9,4069.0,4285,2016.0
469,Larkspur,5-9,9.0,0,2016.0
470,Littleton,5-9,1350.0,1368,2016.0
471,Lone Tree,5-9,293.0,460,2016.0
472,Longmont,5-9,3123.0,3443,2016.0
473,Louisville,5-9,747.0,839,2016.0
474,Lyons,5-9,122.0,97,2016.0
475,Mead,5-9,196.0,106,2016.0
476,Morrison,5-9,8.0,2,2016.0
477,Mountain View,5-9,3.0,10,2016.0
478,Nederland,5-9,39.0,56,2016.0
479,Northglenn,5-9,1190.0,1880,2016.0
480,Parker,5-9,2312.0,2503,2016.0
481,Platteville,5-9,69.0,126,2016.0
482,Sheridan,5-9,154.0,186,2016.0
483,Silver Plume,5-9,2.0,2,2016.0
484,Superior,5-9,492.0,567,2016.0
485,Thornton,5-9,4919.0,5317,2016.0
486,Ward,5-9,0.0,18,2016.0
487,Westminster,5-9,3775.0,3524,2016.0
488,Wheat Ridge,5-9,762.0,673,2016.0
489,Weld County (DRCOG),5-9,2928.0,2668,2016.0
490,Region,5-9,110672.0,117600,2016.0
421,Arvada,10-14,3499.0,3326,2016.0
422,Aurora,10-14,13256.0,12209,2016.0
423,Bennett,10-14,60.0,90,2016.0
424,Black Hawk,10-14,0.0,0,2016.0
425,Boulder City,10-14,1730.0,2361,2016.0
426,Adams County,10-14,18939.0,18923,2016.0
427,Arapahoe County,10-14,21431.0,21904,2016.0
428,Boulder County,10-14,9313.0,9275,2016.0
429,Broomfield City/County,10-14,2084.0,2513,2016.0
430,Clear Creek County,10-14,186.0,269,2016.0
431,Denver City/County,10-14,17499.0,17125,2016.0
431,Denver City/County,10-14,17499.0,17125,2016.0
432,Douglas County,10-14,12879.0,13785,2016.0
433,Gilpin County,10-14,128.0,141,2016.0
434,Jefferson County,10-14,15895.0,17091,2016.0
435,Bow Mar,10-14,50.0,79,2016.0
436,Weld County,10-14,9791.0,10584,2016.0
437,Brighton,10-14,1457.0,1482,2016.0
438,Castle Pines,10-14,718.0,603,2016.0
439,Castle Rock,10-14,2352.0,2131,2016.0
440,Centennial,10-14,3798.0,3788,2016.0
441,Central City,10-14,0.0,7,2016.0
442,Cherry Hills Village,10-14,366.0,468,2016.0
443,Columbine Valley,10-14,48.0,37,2016.0
444,Commerce City,10-14,2621.0,2263,2016.0
445,Dacono,10-14,111.0,141,2016.0
446,Deer Trail,10-14,19.0,21,2016.0
447,Edgewater,10-14,126.0,103,2016.0
448,Elizabeth,10-14,31.0,36,2016.0
449,Empire,10-14,0.0,7,2016.0
450,Englewood,10-14,679.0,728,2016.0
451,Erie,10-14,783.0,795,2016.0
452,Federal Heights,10-14,608.0,612,2016.0
453,Firestone,10-14,458.0,527,2016.0
454,Fort Lupton,10-14,356.0,367,2016.0
455,Foxfield,10-14,24.0,29,2016.0
456,Frederick,10-14,460.0,431,2016.0
457,Georgetown,10-14,31.0,16,2016.0
458,Glendale,10-14,12.0,8,2016.0
459,Golden,10-14,426.0,532,2016.0
459,Golden,10-14,426.0,532,2016.0
460,Greenwood Village,10-14,642.0,622,2016.0
461,Hudson,10-14,59.0,59,2016.0
462,Idaho Springs,10-14,22.0,60,2016.0
463,Jamestown,10-14,2.0,10,2016.0
464,Keenesburg,10-14,47.0,37,2016.0
465,Kiowa,10-14,29.0,6,2016.0
466,Lafayette,10-14,1006.0,767,2016.0
467,Lakeside,10-14,0.0,0,2016.0
468,Lakewood,10-14,3982.0,3922,2016.0
469,Larkspur,10-14,1.0,4,2016.0
470,Littleton,10-14,1201.0,1224,2016.0
471,Lone Tree,10-14,349.0,564,2016.0
472,Longmont,10-14,3392.0,3033,2016.0
473,Louisville,10-14,726.0,571,2016.0
474,Lyons,10-14,46.0,31,2016.0
475,Mead,10-14,95.0,204,2016.0
476,Morrison,10-14,1.0,4,2016.0
477,Mountain View,10-14,2.0,10,2016.0
478,Nederland,10-14,62.0,68,2016.0
479,Northglenn,10-14,1246.0,1018,2016.0
480,Parker,10-14,2100.0,2257,2016.0
481,Platteville,10-14,159.0,77,2016.0
482,Sheridan,10-14,100.0,196,2016.0
483,Silver Plume,10-14,3.0,4,2016.0
484,Superior,10-14,527.0,589,2016.0
485,Thornton,10-14,5136.0,5877,2016.0
486,Ward,10-14,3.0,0,2016.0
487,Westminster,10-14,3644.0,3930,2016.0
488,Wheat Ridge,10-14,777.0,778,2016.0
489,Weld County (DRCOG),10-14,2364.0,2535,2016.0
490,Region,10-14,108958.0,112528,2016.0
421,Arvada,15-19,3340.0,3520,2016.0
422,Aurora,15-19,11310.0,10841,2016.0
423,Bennett,15-19,56.0,122,2016.0
424,Black Hawk,15-19,0.0,9,2016.0
425,Boulder City,15-19,5697.0,6099,2016.0
426,Adams County,15-19,15216.0,16202,2016.0
427,Arapahoe County,15-19,18754.0,20082,2016.0
428,Boulder County,15-19,12456.0,12750,2016.0
429,Broomfield City/County,15-19,1735.0,1850,2016.0
430,Clear Creek County,15-19,230.0,167,2016.0
431,Denver City/County,15-19,15853.0,15720,2016.0
431,Denver City/County,15-19,15853.0,15720,2016.0
432,Douglas County,15-19,11200.0,11768,2016.0
433,Gilpin County,15-19,147.0,85,2016.0
434,Jefferson County,15-19,16014.0,17793,2016.0
435,Bow Mar,15-19,71.0,69,2016.0
436,Weld County,15-19,9993.0,10063,2016.0
437,Brighton,15-19,1279.0,1332,2016.0
438,Castle Pines,15-19,435.0,421,2016.0
439,Castle Rock,15-19,2013.0,1818,2016.0
440,Centennial,15-19,3447.0,3916,2016.0
441,Central City,15-19,5.0,0,2016.0
442,Cherry Hills Village,15-19,238.0,312,2016.0
443,Columbine Valley,15-19,31.0,33,2016.0
444,Commerce City,15-19,1649.0,1826,2016.0
445,Dacono,15-19,138.0,182,2016.0
446,Deer Trail,15-19,12.0,10,2016.0
447,Edgewater,15-19,51.0,152,2016.0
448,Elizabeth,15-19,54.0,37,2016.0
449,Empire,15-19,13.0,12,2016.0
450,Englewood,15-19,540.0,709,2016.0
451,Erie,15-19,467.0,573,2016.0
452,Federal Heights,15-19,321.0,401,2016.0
453,Firestone,15-19,319.0,290,2016.0
454,Fort Lupton,15-19,216.0,321,2016.0
455,Foxfield,15-19,15.0,33,2016.0
456,Frederick,15-19,200.0,296,2016.0
457,Georgetown,15-19,49.0,9,2016.0
458,Glendale,15-19,32.0,147,2016.0
459,Golden,15-19,690.0,1165,2016.0
459,Golden,15-19,690.0,1165,2016.0
460,Greenwood Village,15-19,536.0,688,2016.0
461,Hudson,15-19,42.0,107,2016.0
462,Idaho Springs,15-19,44.0,46,2016.0
463,Jamestown,15-19,0.0,3,2016.0
464,Keenesburg,15-19,39.0,28,2016.0
465,Kiowa,15-19,18.0,17,2016.0
466,Lafayette,15-19,1034.0,836,2016.0
467,Lakeside,15-19,0.0,0,2016.0
468,Lakewood,15-19,3962.0,4333,2016.0
469,Larkspur,15-19,16.0,4,2016.0
470,Littleton,15-19,1369.0,1082,2016.0
471,Lone Tree,15-19,358.0,387,2016.0
472,Longmont,15-19,2847.0,3118,2016.0
473,Louisville,15-19,698.0,516,2016.0
474,Lyons,15-19,21.0,114,2016.0
475,Mead,15-19,84.0,113,2016.0
476,Morrison,15-19,0.0,0,2016.0
477,Mountain View,15-19,4.0,7,2016.0
478,Nederland,15-19,23.0,60,2016.0
479,Northglenn,15-19,1055.0,1022,2016.0
480,Parker,15-19,1828.0,1710,2016.0
481,Platteville,15-19,31.0,184,2016.0
482,Sheridan,15-19,166.0,112,2016.0
483,Silver Plume,15-19,7.0,4,2016.0
484,Superior,15-19,573.0,403,2016.0
