place,Jurisdiction,Age,Females,Males,year
613,Louisville,40-44,931.0,913,2018.0
614,Lyons,40-44,127.0,113,2018.0
615,Mead,40-44,91.0,133,2018.0
616,Morrison,40-44,4.0,2,2018.0
617,Mountain View,40-44,29.0,33,2018.0
618,Nederland,40-44,34.0,70,2018.0
619,Northglenn,40-44,824.0,1040,2018.0
620,Parker,40-44,2433.0,2384,2018.0
621,Platteville,40-44,96.0,107,2018.0
622,Sheridan,40-44,54.0,153,2018.0
623,Silver Plume,40-44,9.0,7,2018.0
624,Superior,40-44,576.0,369,2018.0
625,Thornton,40-44,4746.0,5056,2018.0
626,Ward,40-44,0.0,13,2018.0
627,Westminster,40-44,3879.0,3789,2018.0
628,Wheat Ridge,40-44,750.0,798,2018.0
629,Weld County (DRCOG),40-44,2331.0,2772,2018.0
630,Region,40-44,116973.0,123279,2018.0
561,Arvada,45-49,3736.0,3634,2018.0
562,Aurora,45-49,12659.0,12248,2018.0
563,Bennett,45-49,55.0,97,2018.0
564,Black Hawk,45-49,0.0,2,2018.0
565,Boulder City,45-49,2294.0,3117,2018.0
566,Adams County,45-49,15802.0,16442,2018.0
567,Arapahoe County,45-49,21725.0,21389,2018.0
568,Boulder County,45-49,10649.0,10675,2018.0
569,Broomfield City/County,45-49,2519.0,2511,2018.0
570,Clear Creek County,45-49,380.0,350,2018.0
571,Denver City/County,45-49,20125.0,22718,2018.0
572,Douglas County,45-49,14162.0,14101,2018.0
573,Gilpin County,45-49,188.0,312,2018.0
574,Jefferson County,45-49,19232.0,18987,2018.0
575,Bow Mar,45-49,38.0,31,2018.0
576,Weld County,45-49,9157.0,9556,2018.0
577,Brighton,45-49,1325.0,1367,2018.0
578,Castle Pines,45-49,635.0,620,2018.0
579,Castle Rock,45-49,2311.0,2303,2018.0
580,Centennial,45-49,4151.0,3836,2018.0
581,Central City,45-49,41.0,32,2018.0
582,Cherry Hills Village,45-49,288.0,253,2018.0
583,Columbine Valley,45-49,40.0,44,2018.0
584,Commerce City,45-49,1437.0,1721,2018.0
585,Dacono,45-49,103.0,212,2018.0
586,Deer Trail,45-49,17.0,8,2018.0
587,Edgewater,45-49,167.0,229,2018.0
588,Elizabeth,45-49,46.0,79,2018.0
589,Empire,45-49,9.0,7,2018.0
590,Englewood,45-49,821.0,728,2018.0
591,Erie,45-49,875.0,867,2018.0
592,Federal Heights,45-49,347.0,316,2018.0
593,Firestone,45-49,544.0,562,2018.0
594,Fort Lupton,45-49,326.0,303,2018.0
595,Foxfield,45-49,16.0,15,2018.0
596,Frederick,45-49,410.0,407,2018.0
597,Georgetown,45-49,23.0,90,2018.0
598,Glendale,45-49,112.0,173,2018.0
599,Golden,45-49,701.0,608,2018.0
600,Greenwood Village,45-49,574.0,518,2018.0
601,Hudson,45-49,64.0,54,2018.0
602,Idaho Springs,45-49,102.0,20,2018.0
603,Jamestown,45-49,2.0,3,2018.0
604,Keenesburg,45-49,22.0,42,2018.0
605,Kiowa,45-49,39.0,36,2018.0
606,Lafayette,45-49,1003.0,780,2018.0
607,Lakeside,45-49,0.0,0,2018.0
608,Lakewood,45-49,4710.0,4833,2018.0
609,Larkspur,45-49,3.0,9,2018.0
610,Littleton,45-49,1436.0,1351,2018.0
611,Lone Tree,45-49,498.0,560,2018.0
612,Longmont,45-49,3584.0,3437,2018.0
613,Louisville,45-49,804.0,853,2018.0
614,Lyons,45-49,93.0,106,2018.0
615,Mead,45-49,206.0,144,2018.0
616,Morrison,45-49,12.0,19,2018.0
617,Mountain View,45-49,18.0,16,2018.0
618,Nederland,45-49,108.0,63,2018.0
619,Northglenn,45-49,1253.0,1414,2018.0
620,Parker,45-49,2255.0,2526,2018.0
621,Platteville,45-49,54.0,87,2018.0
622,Sheridan,45-49,114.0,133,2018.0
623,Silver Plume,45-49,10.0,18,2018.0
624,Superior,45-49,744.0,572,2018.0
625,Thornton,45-49,4477.0,4376,2018.0
626,Ward,45-49,2.0,2,2018.0
627,Westminster,45-49,3689.0,3569,2018.0
628,Wheat Ridge,45-49,867.0,898,2018.0
629,Weld County (DRCOG),45-49,2586.0,2578,2018.0
630,Region,45-49,114948.0,118054,2018.0
561,Arvada,50-54,4837.0,4065,2018.0
562,Aurora,50-54,11058.0,10622,2018.0
563,Bennett,50-54,106.0,114,2018.0
564,Black Hawk,50-54,12.0,12,2018.0
565,Boulder City,50-54,2845.0,2572,2018.0
566,Adams County,50-54,15041.0,15392,2018.0
567,Arapahoe County,50-54,21269.0,20330,2018.0
568,Boulder County,50-54,10700.0,10284,2018.0
569,Broomfield City/County,50-54,2160.0,2232,2018.0
570,Clear Creek County,50-54,401.0,398,2018.0
571,Denver City/County,50-54,18012.0,19588,2018.0
572,Douglas County,50-54,12830.0,12599,2018.0
573,Gilpin County,50-54,284.0,177,2018.0
574,Jefferson County,50-54,21452.0,20074,2018.0
575,Bow Mar,50-54,50.0,46,2018.0
576,Weld County,50-54,8855.0,8957,2018.0
577,Brighton,50-54,1254.0,1147,2018.0
578,Castle Pines,50-54,490.0,428,2018.0
579,Castle Rock,50-54,2130.0,2057,2018.0
580,Centennial,50-54,3942.0,3954,2018.0
581,Central City,50-54,21.0,32,2018.0
582,Cherry Hills Village,50-54,326.0,345,2018.0
583,Columbine Valley,50-54,38.0,33,2018.0
584,Commerce City,50-54,1504.0,1408,2018.0
585,Dacono,50-54,175.0,241,2018.0
586,Deer Trail,50-54,29.0,7,2018.0
587,Edgewater,50-54,193.0,186,2018.0
588,Elizabeth,50-54,35.0,25,2018.0
589,Empire,50-54,8.0,10,2018.0
590,Englewood,50-54,1009.0,1146,2018.0
591,Erie,50-54,676.0,1009,2018.0
592,Federal Heights,50-54,260.0,318,2018.0
593,Firestone,50-54,354.0,384,2018.0
594,Fort Lupton,50-54,377.0,288,2018.0
595,Foxfield,50-54,26.0,14,2018.0
596,Frederick,50-54,433.0,388,2018.0
597,Georgetown,50-54,39.0,42,2018.0
598,Glendale,50-54,71.0,185,2018.0
599,Golden,50-54,606.0,544,2018.0
600,Greenwood Village,50-54,743.0,568,2018.0
601,Hudson,50-54,87.0,46,2018.0
602,Idaho Springs,50-54,80.0,85,2018.0
603,Jamestown,50-54,7.0,6,2018.0
604,Keenesburg,50-54,33.0,67,2018.0
605,Kiowa,50-54,40.0,39,2018.0
606,Lafayette,50-54,1071.0,957,2018.0
607,Lakeside,50-54,0.0,1,2018.0
608,Lakewood,50-54,5231.0,4917,2018.0
609,Larkspur,50-54,13.0,5,2018.0
610,Littleton,50-54,1668.0,1568,2018.0
611,Lone Tree,50-54,548.0,580,2018.0
612,Longmont,50-54,2865.0,2925,2018.0
613,Louisville,50-54,840.0,693,2018.0
614,Lyons,50-54,70.0,104,2018.0
615,Mead,50-54,85.0,75,2018.0
616,Morrison,50-54,16.0,16,2018.0
617,Mountain View,50-54,14.0,43,2018.0
618,Nederland,50-54,66.0,40,2018.0
619,Northglenn,50-54,908.0,1006,2018.0
620,Parker,50-54,1427.0,1404,2018.0
621,Platteville,50-54,101.0,75,2018.0
622,Sheridan,50-54,224.0,127,2018.0
623,Silver Plume,50-54,2.0,5,2018.0
624,Superior,50-54,587.0,547,2018.0
625,Thornton,50-54,4353.0,4292,2018.0
626,Ward,50-54,5.0,4,2018.0
627,Westminster,50-54,3704.0,3637,2018.0
628,Wheat Ridge,50-54,1014.0,919,2018.0
629,Weld County (DRCOG),50-54,2298.0,2377,2018.0
630,Region,50-54,112288.0,111264,2018.0
561,Arvada,55-59,4190.0,4273,2018.0
562,Aurora,55-59,10458.0,9945,2018.0
563,Bennett,55-59,26.0,102,2018.0
564,Black Hawk,55-59,0.0,12,2018.0
565,Boulder City,55-59,2163.0,2353,2018.0
566,Adams County,55-59,14778.0,14992,2018.0
567,Arapahoe County,55-59,20980.0,19862,2018.0
568,Boulder County,55-59,10062.0,10252,2018.0
569,Broomfield City/County,55-59,2329.0,2330,2018.0
570,Clear Creek County,55-59,453.0,506,2018.0
571,Denver City/County,55-59,17997.0,18588,2018.0
572,Douglas County,55-59,11293.0,11394,2018.0
573,Gilpin County,55-59,250.0,210,2018.0
574,Jefferson County,55-59,22028.0,21320,2018.0
575,Bow Mar,55-59,40.0,48,2018.0
576,Weld County,55-59,9000.0,8551,2018.0
577,Brighton,55-59,656.0,1132,2018.0
578,Castle Pines,55-59,330.0,336,2018.0
579,Castle Rock,55-59,1722.0,1800,2018.0
580,Centennial,55-59,4411.0,4286,2018.0
581,Central City,55-59,44.0,24,2018.0
582,Cherry Hills Village,55-59,326.0,241,2018.0
583,Columbine Valley,55-59,74.0,86,2018.0
584,Commerce City,55-59,1397.0,1315,2018.0
585,Dacono,55-59,87.0,158,2018.0
586,Deer Trail,55-59,46.0,47,2018.0
587,Edgewater,55-59,138.0,108,2018.0
588,Elizabeth,55-59,35.0,31,2018.0
589,Empire,55-59,19.0,11,2018.0
590,Englewood,55-59,1119.0,1215,2018.0
591,Erie,55-59,672.0,590,2018.0
592,Federal Heights,55-59,380.0,245,2018.0
593,Firestone,55-59,387.0,344,2018.0
594,Fort Lupton,55-59,148.0,185,2018.0
595,Foxfield,55-59,27.0,31,2018.0
596,Frederick,55-59,299.0,271,2018.0
597,Georgetown,55-59,29.0,28,2018.0
598,Glendale,55-59,99.0,144,2018.0
599,Golden,55-59,513.0,574,2018.0
600,Greenwood Village,55-59,744.0,598,2018.0
601,Hudson,55-59,31.0,74,2018.0
602,Idaho Springs,55-59,85.0,64,2018.0
603,Jamestown,55-59,13.0,8,2018.0
604,Keenesburg,55-59,42.0,70,2018.0
605,Kiowa,55-59,28.0,22,2018.0
606,Lafayette,55-59,1132.0,878,2018.0
607,Lakeside,55-59,0.0,0,2018.0
608,Lakewood,55-59,5747.0,5190,2018.0
609,Larkspur,55-59,11.0,13,2018.0
610,Littleton,55-59,1675.0,1622,2018.0
611,Lone Tree,55-59,839.0,530,2018.0
612,Longmont,55-59,3097.0,2843,2018.0
613,Louisville,55-59,779.0,884,2018.0
614,Lyons,55-59,85.0,124,2018.0
615,Mead,55-59,225.0,120,2018.0
616,Morrison,55-59,13.0,24,2018.0
617,Mountain View,55-59,12.0,15,2018.0
618,Nederland,55-59,59.0,71,2018.0
619,Northglenn,55-59,1448.0,1397,2018.0
620,Parker,55-59,1403.0,1760,2018.0
621,Platteville,55-59,59.0,79,2018.0
622,Sheridan,55-59,220.0,184,2018.0
623,Silver Plume,55-59,2.0,4,2018.0
624,Superior,55-59,437.0,487,2018.0
625,Thornton,55-59,4083.0,3823,2018.0
626,Ward,55-59,4.0,0,2018.0
627,Westminster,55-59,4035.0,4015,2018.0
628,Wheat Ridge,55-59,1084.0,1238,2018.0
629,Weld County (DRCOG),55-59,2283.0,2474,2018.0
630,Region,55-59,110499.0,109132,2018.0
561,Arvada,60-64,4129.0,3426,2018.0
562,Aurora,60-64,9763.0,8615,2018.0
563,Bennett,60-64,59.0,124,2018.0
564,Black Hawk,60-64,2.0,2,2018.0
565,Boulder City,60-64,2766.0,2395,2018.0
566,Adams County,60-64,11863.0,11182,2018.0
567,Arapahoe County,60-64,19884.0,17389,2018.0
568,Boulder County,60-64,10797.0,9646,2018.0
569,Broomfield City/County,60-64,1710.0,1488,2018.0
570,Clear Creek County,60-64,452.0,470,2018.0
571,Denver City/County,60-64,18116.0,15841,2018.0
572,Douglas County,60-64,8904.0,8327,2018.0
573,Gilpin County,60-64,403.0,409,2018.0
574,Jefferson County,60-64,20986.0,19137,2018.0
575,Bow Mar,60-64,26.0,31,2018.0
576,Weld County,60-64,8304.0,8322,2018.0
577,Brighton,60-64,897.0,717,2018.0
578,Castle Pines,60-64,229.0,190,2018.0
579,Castle Rock,60-64,1397.0,1108,2018.0
580,Centennial,60-64,4332.0,3618,2018.0
581,Central City,60-64,40.0,40,2018.0
582,Cherry Hills Village,60-64,250.0,270,2018.0
583,Columbine Valley,60-64,75.0,51,2018.0
584,Commerce City,60-64,1022.0,923,2018.0
585,Dacono,60-64,189.0,105,2018.0
586,Deer Trail,60-64,4.0,20,2018.0
587,Edgewater,60-64,70.0,76,2018.0
588,Elizabeth,60-64,32.0,57,2018.0
589,Empire,60-64,10.0,10,2018.0
590,Englewood,60-64,1215.0,1198,2018.0
591,Erie,60-64,578.0,628,2018.0
592,Federal Heights,60-64,333.0,202,2018.0
593,Firestone,60-64,276.0,337,2018.0
594,Fort Lupton,60-64,217.0,228,2018.0
595,Foxfield,60-64,43.0,39,2018.0
596,Frederick,60-64,288.0,360,2018.0
597,Georgetown,60-64,42.0,31,2018.0
598,Glendale,60-64,76.0,61,2018.0
599,Golden,60-64,489.0,572,2018.0
600,Greenwood Village,60-64,540.0,457,2018.0
601,Hudson,60-64,36.0,11,2018.0
602,Idaho Springs,60-64,57.0,102,2018.0
603,Jamestown,60-64,8.0,25,2018.0
604,Keenesburg,60-64,31.0,29,2018.0
605,Kiowa,60-64,36.0,16,2018.0
606,Lafayette,60-64,1115.0,1188,2018.0
607,Lakeside,60-64,2.0,0,2018.0
608,Lakewood,60-64,5510.0,4607,2018.0
609,Larkspur,60-64,7.0,18,2018.0
610,Littleton,60-64,1868.0,1484,2018.0
611,Lone Tree,60-64,334.0,382,2018.0
612,Longmont,60-64,3107.0,2466,2018.0
613,Louisville,60-64,841.0,731,2018.0
614,Lyons,60-64,80.0,41,2018.0
615,Mead,60-64,113.0,93,2018.0
616,Morrison,60-64,10.0,8,2018.0
617,Mountain View,60-64,10.0,31,2018.0
618,Nederland,60-64,15.0,32,2018.0
619,Northglenn,60-64,751.0,677,2018.0
620,Parker,60-64,1215.0,1135,2018.0
621,Platteville,60-64,89.0,119,2018.0
622,Sheridan,60-64,197.0,290,2018.0
623,Silver Plume,60-64,2.0,8,2018.0
624,Superior,60-64,347.0,346,2018.0
625,Thornton,60-64,3126.0,2849,2018.0
626,Ward,60-64,7.0,10,2018.0
627,Westminster,60-64,3684.0,3303,2018.0
628,Wheat Ridge,60-64,1321.0,1152,2018.0
629,Weld County (DRCOG),60-64,2147.0,2097,2018.0
630,Region,60-64,102442.0,93485,2018.0
561,Arvada,65-69,3697.0,3187,2018.0
562,Aurora,65-69,7946.0,7257,2018.0
563,Bennett,65-69,84.0,35,2018.0
564,Black Hawk,65-69,0.0,0,2018.0
565,Boulder City,65-69,2001.0,1934,2018.0
566,Adams County,65-69,9435.0,8592,2018.0
567,Arapahoe County,65-69,15312.0,13904,2018.0
568,Boulder County,65-69,7944.0,7756,2018.0
569,Broomfield City/County,65-69,1586.0,1394,2018.0
570,Clear Creek County,65-69,302.0,464,2018.0
571,Denver City/County,65-69,14528.0,13121,2018.0
572,Douglas County,65-69,7337.0,6633,2018.0
573,Gilpin County,65-69,266.0,282,2018.0
574,Jefferson County,65-69,15986.0,14967,2018.0
575,Bow Mar,65-69,23.0,26,2018.0
576,Weld County,65-69,6575.0,6270,2018.0
577,Brighton,65-69,677.0,909,2018.0
578,Castle Pines,65-69,205.0,223,2018.0
579,Castle Rock,65-69,1220.0,1041,2018.0
580,Centennial,65-69,3095.0,2912,2018.0
581,Central City,65-69,21.0,3,2018.0
582,Cherry Hills Village,65-69,237.0,182,2018.0
583,Columbine Valley,65-69,58.0,50,2018.0
584,Commerce City,65-69,897.0,619,2018.0
585,Dacono,65-69,38.0,92,2018.0
586,Deer Trail,65-69,17.0,15,2018.0
587,Edgewater,65-69,63.0,66,2018.0
588,Elizabeth,65-69,35.0,25,2018.0
589,Empire,65-69,16.0,15,2018.0
590,Englewood,65-69,701.0,645,2018.0
591,Erie,65-69,450.0,391,2018.0
592,Federal Heights,65-69,203.0,127,2018.0
593,Firestone,65-69,295.0,304,2018.0
594,Fort Lupton,65-69,204.0,187,2018.0
595,Foxfield,65-69,41.0,40,2018.0
596,Frederick,65-69,260.0,262,2018.0
597,Georgetown,65-69,63.0,30,2018.0
598,Glendale,65-69,52.0,37,2018.0
599,Golden,65-69,400.0,395,2018.0
600,Greenwood Village,65-69,428.0,518,2018.0
601,Hudson,65-69,28.0,35,2018.0
602,Idaho Springs,65-69,62.0,90,2018.0
603,Jamestown,65-69,3.0,6,2018.0
604,Keenesburg,65-69,39.0,27,2018.0
605,Kiowa,65-69,13.0,22,2018.0
606,Lafayette,65-69,780.0,711,2018.0
607,Lakeside,65-69,0.0,0,2018.0
608,Lakewood,65-69,3910.0,3702,2018.0
609,Larkspur,65-69,11.0,12,2018.0
610,Littleton,65-69,1305.0,1245,2018.0
611,Lone Tree,65-69,362.0,279,2018.0
612,Longmont,65-69,2305.0,2047,2018.0
613,Louisville,65-69,527.0,514,2018.0
614,Lyons,65-69,62.0,35,2018.0
615,Mead,65-69,80.0,142,2018.0
616,Morrison,65-69,25.0,18,2018.0
617,Mountain View,65-69,6.0,5,2018.0
618,Nederland,65-69,24.0,43,2018.0
619,Northglenn,65-69,775.0,694,2018.0
620,Parker,65-69,867.0,670,2018.0
621,Platteville,65-69,41.0,55,2018.0
622,Sheridan,65-69,189.0,196,2018.0
623,Silver Plume,65-69,12.0,1,2018.0
624,Superior,65-69,192.0,205,2018.0
625,Thornton,65-69,2425.0,2097,2018.0
626,Ward,65-69,14.0,0,2018.0
627,Westminster,65-69,2694.0,2431,2018.0
628,Wheat Ridge,65-69,786.0,671,2018.0
629,Weld County (DRCOG),65-69,1572.0,1560,2018.0
630,Region,65-69,80043.0,74187,2018.0
561,Arvada,70-74,2737.0,2097,2018.0
562,Aurora,70-74,5725.0,4086,2018.0
563,Bennett,70-74,83.0,34,2018.0
564,Black Hawk,70-74,1.0,0,2018.0
565,Boulder City,70-74,1473.0,1200,2018.0
566,Adams County,70-74,6748.0,5791,2018.0
567,Arapahoe County,70-74,10883.0,8747,2018.0
568,Boulder County,70-74,5495.0,4711,2018.0
569,Broomfield City/County,70-74,1281.0,977,2018.0
570,Clear Creek County,70-74,348.0,177,2018.0
571,Denver City/County,70-74,10819.0,8567,2018.0
572,Douglas County,70-74,5105.0,4693,2018.0
573,Gilpin County,70-74,81.0,75,2018.0
574,Jefferson County,70-74,12335.0,10524,2018.0
575,Bow Mar,70-74,18.0,17,2018.0
576,Weld County,70-74,4419.0,4140,2018.0
577,Brighton,70-74,647.0,443,2018.0
578,Castle Pines,70-74,247.0,205,2018.0
579,Castle Rock,70-74,702.0,716,2018.0
580,Centennial,70-74,2172.0,2054,2018.0
581,Central City,70-74,31.0,7,2018.0
582,Cherry Hills Village,70-74,101.0,225,2018.0
583,Columbine Valley,70-74,27.0,38,2018.0
584,Commerce City,70-74,386.0,554,2018.0
585,Dacono,70-74,61.0,32,2018.0
586,Deer Trail,70-74,9.0,12,2018.0
587,Edgewater,70-74,85.0,54,2018.0
588,Elizabeth,70-74,12.0,4,2018.0
589,Empire,70-74,4.0,5,2018.0
590,Englewood,70-74,550.0,431,2018.0
591,Erie,70-74,325.0,235,2018.0
592,Federal Heights,70-74,162.0,79,2018.0
593,Firestone,70-74,138.0,107,2018.0
594,Fort Lupton,70-74,98.0,61,2018.0
595,Foxfield,70-74,25.0,26,2018.0
596,Frederick,70-74,137.0,152,2018.0
597,Georgetown,70-74,23.0,17,2018.0
598,Glendale,70-74,22.0,41,2018.0
599,Golden,70-74,192.0,189,2018.0
600,Greenwood Village,70-74,310.0,329,2018.0
601,Hudson,70-74,17.0,26,2018.0
602,Idaho Springs,70-74,74.0,18,2018.0
603,Jamestown,70-74,11.0,3,2018.0
604,Keenesburg,70-74,6.0,7,2018.0
605,Kiowa,70-74,19.0,5,2018.0
606,Lafayette,70-74,432.0,224,2018.0
607,Lakeside,70-74,0.0,3,2018.0
608,Lakewood,70-74,3328.0,2531,2018.0
609,Larkspur,70-74,7.0,4,2018.0
610,Littleton,70-74,1070.0,817,2018.0
611,Lone Tree,70-74,322.0,220,2018.0
612,Longmont,70-74,2004.0,1527,2018.0
613,Louisville,70-74,241.0,258,2018.0
614,Lyons,70-74,36.0,30,2018.0
615,Mead,70-74,59.0,142,2018.0
616,Morrison,70-74,9.0,4,2018.0
617,Mountain View,70-74,4.0,6,2018.0
618,Nederland,70-74,3.0,22,2018.0
619,Northglenn,70-74,544.0,417,2018.0
620,Parker,70-74,622.0,333,2018.0
621,Platteville,70-74,45.0,35,2018.0
622,Sheridan,70-74,92.0,70,2018.0
623,Silver Plume,70-74,0.0,3,2018.0
624,Superior,70-74,62.0,102,2018.0
625,Thornton,70-74,1981.0,1389,2018.0
626,Ward,70-74,5.0,6,2018.0
627,Westminster,70-74,1888.0,1821,2018.0
628,Wheat Ridge,70-74,812.0,702,2018.0
629,Weld County (DRCOG),70-74,952.0,994,2018.0
630,Region,70-74,57996.0,48953,2018.0
561,Arvada,75-79,2069.0,1550,2018.0
562,Aurora,75-79,3680.0,2545,2018.0
563,Bennett,75-79,42.0,18,2018.0
564,Black Hawk,75-79,2.0,0,2018.0
565,Boulder City,75-79,1002.0,794,2018.0
566,Adams County,75-79,4808.0,3510,2018.0
567,Arapahoe County,75-79,7182.0,5737,2018.0
568,Boulder County,75-79,3602.0,2961,2018.0
569,Broomfield City/County,75-79,771.0,623,2018.0
570,Clear Creek County,75-79,135.0,170,2018.0
571,Denver City/County,75-79,7074.0,5619,2018.0
572,Douglas County,75-79,2781.0,2499,2018.0
573,Gilpin County,75-79,14.0,18,2018.0
574,Jefferson County,75-79,8128.0,6767,2018.0
575,Bow Mar,75-79,20.0,12,2018.0
576,Weld County,75-79,3120.0,2782,2018.0
577,Brighton,75-79,337.0,212,2018.0
578,Castle Pines,75-79,121.0,206,2018.0
579,Castle Rock,75-79,447.0,290,2018.0
580,Centennial,75-79,1440.0,1371,2018.0
581,Central City,75-79,12.0,0,2018.0
582,Cherry Hills Village,75-79,123.0,132,2018.0
583,Columbine Valley,75-79,36.0,34,2018.0
584,Commerce City,75-79,388.0,266,2018.0
585,Dacono,75-79,49.0,26,2018.0
586,Deer Trail,75-79,10.0,0,2018.0
587,Edgewater,75-79,52.0,9,2018.0
588,Elizabeth,75-79,10.0,16,2018.0
589,Empire,75-79,0.0,3,2018.0
590,Englewood,75-79,487.0,315,2018.0
591,Erie,75-79,189.0,131,2018.0
592,Federal Heights,75-79,158.0,59,2018.0
593,Firestone,75-79,154.0,53,2018.0
594,Fort Lupton,75-79,76.0,64,2018.0
595,Foxfield,75-79,11.0,12,2018.0
596,Frederick,75-79,93.0,47,2018.0
597,Georgetown,75-79,45.0,6,2018.0
598,Glendale,75-79,10.0,7,2018.0
599,Golden,75-79,163.0,149,2018.0
600,Greenwood Village,75-79,212.0,165,2018.0
601,Hudson,75-79,19.0,15,2018.0
602,Idaho Springs,75-79,9.0,38,2018.0
603,Jamestown,75-79,0.0,5,2018.0
604,Keenesburg,75-79,9.0,5,2018.0
605,Kiowa,75-79,23.0,13,2018.0
606,Lafayette,75-79,312.0,177,2018.0
607,Lakeside,75-79,0.0,0,2018.0
608,Lakewood,75-79,2297.0,1772,2018.0
609,Larkspur,75-79,6.0,0,2018.0
610,Littleton,75-79,738.0,622,2018.0
611,Lone Tree,75-79,120.0,124,2018.0
612,Longmont,75-79,1272.0,885,2018.0
613,Louisville,75-79,278.0,195,2018.0
614,Lyons,75-79,31.0,8,2018.0
615,Mead,75-79,0.0,18,2018.0
616,Morrison,75-79,24.0,6,2018.0
617,Mountain View,75-79,11.0,7,2018.0
618,Nederland,75-79,4.0,13,2018.0
619,Northglenn,75-79,605.0,269,2018.0
620,Parker,75-79,328.0,314,2018.0
621,Platteville,75-79,31.0,13,2018.0
622,Sheridan,75-79,92.0,37,2018.0
623,Silver Plume,75-79,5.0,5,2018.0
624,Superior,75-79,86.0,87,2018.0
625,Thornton,75-79,998.0,747,2018.0
626,Ward,75-79,3.0,0,2018.0
627,Westminster,75-79,1162.0,1015,2018.0
628,Wheat Ridge,75-79,531.0,475,2018.0
629,Weld County (DRCOG),75-79,775.0,588,2018.0
630,Region,75-79,37799.0,30944,2018.0
561,Arvada,80-84,1342.0,785,2018.0
562,Aurora,80-84,2419.0,1566,2018.0
563,Bennett,80-84,0.0,14,2018.0
564,Black Hawk,80-84,0.0,0,2018.0
565,Boulder City,80-84,671.0,546,2018.0
566,Adams County,80-84,3114.0,2160,2018.0
567,Arapahoe County,80-84,4630.0,3349,2018.0
568,Boulder County,80-84,2706.0,1755,2018.0
569,Broomfield City/County,80-84,604.0,360,2018.0
570,Clear Creek County,80-84,59.0,60,2018.0
571,Denver City/County,80-84,5220.0,3461,2018.0
572,Douglas County,80-84,1941.0,1641,2018.0
573,Gilpin County,80-84,10.0,20,2018.0
574,Jefferson County,80-84,5633.0,3968,2018.0
575,Bow Mar,80-84,9.0,5,2018.0
576,Weld County,80-84,1871.0,1620,2018.0
577,Brighton,80-84,167.0,137,2018.0
578,Castle Pines,80-84,34.0,43,2018.0
579,Castle Rock,80-84,444.0,255,2018.0
580,Centennial,80-84,837.0,711,2018.0
581,Central City,80-84,10.0,9,2018.0
582,Cherry Hills Village,80-84,45.0,37,2018.0
583,Columbine Valley,80-84,32.0,18,2018.0
584,Commerce City,80-84,225.0,119,2018.0
585,Dacono,80-84,35.0,23,2018.0
586,Deer Trail,80-84,2.0,3,2018.0
587,Edgewater,80-84,7.0,18,2018.0
588,Elizabeth,80-84,2.0,0,2018.0
589,Empire,80-84,0.0,3,2018.0
590,Englewood,80-84,256.0,259,2018.0
591,Erie,80-84,174.0,99,2018.0
592,Federal Heights,80-84,151.0,30,2018.0
593,Firestone,80-84,55.0,45,2018.0
594,Fort Lupton,80-84,25.0,69,2018.0
595,Foxfield,80-84,8.0,16,2018.0
596,Frederick,80-84,47.0,31,2018.0
597,Georgetown,80-84,4.0,2,2018.0
598,Glendale,80-84,6.0,6,2018.0
599,Golden,80-84,101.0,116,2018.0
600,Greenwood Village,80-84,149.0,170,2018.0
601,Hudson,80-84,4.0,4,2018.0
602,Idaho Springs,80-84,55.0,16,2018.0
603,Jamestown,80-84,0.0,0,2018.0
604,Keenesburg,80-84,6.0,15,2018.0
605,Kiowa,80-84,9.0,3,2018.0
606,Lafayette,80-84,288.0,176,2018.0
607,Lakeside,80-84,0.0,0,2018.0
608,Lakewood,80-84,1966.0,1383,2018.0
609,Larkspur,80-84,6.0,2,2018.0
610,Littleton,80-84,607.0,413,2018.0
611,Lone Tree,80-84,76.0,115,2018.0
612,Longmont,80-84,967.0,545,2018.0
613,Louisville,80-84,244.0,93,2018.0
614,Lyons,80-84,13.0,0,2018.0
615,Mead,80-84,16.0,21,2018.0
616,Morrison,80-84,24.0,3,2018.0
617,Mountain View,80-84,0.0,4,2018.0
618,Nederland,80-84,2.0,0,2018.0
619,Northglenn,80-84,366.0,418,2018.0
620,Parker,80-84,211.0,116,2018.0
621,Platteville,80-84,3.0,32,2018.0
622,Sheridan,80-84,37.0,60,2018.0
623,Silver Plume,80-84,0.0,0,2018.0
624,Superior,80-84,0.0,0,2018.0
625,Thornton,80-84,632.0,489,2018.0
626,Ward,80-84,0.0,0,2018.0
627,Westminster,80-84,984.0,601,2018.0
628,Wheat Ridge,80-84,667.0,304,2018.0
629,Weld County (DRCOG),80-84,342.0,392,2018.0
630,Region,80-84,25952.0,18519,2018.0
561,Arvada,85+,1471.0,929,2018.0
562,Aurora,85+,2774.0,1393,2018.0
563,Bennett,85+,8.0,0,2018.0
564,Black Hawk,85+,7.0,0,2018.0
565,Boulder City,85+,1213.0,582,2018.0
566,Adams County,85+,3112.0,1911,2018.0
567,Arapahoe County,85+,5908.0,2975,2018.0
568,Boulder County,85+,3202.0,1936,2018.0
569,Broomfield City/County,85+,595.0,308,2018.0
570,Clear Creek County,85+,46.0,8,2018.0
571,Denver City/County,85+,6923.0,3419,2018.0
572,Douglas County,85+,1986.0,1185,2018.0
573,Gilpin County,85+,7.0,85,2018.0
574,Jefferson County,85+,6717.0,3682,2018.0
575,Bow Mar,85+,18.0,10,2018.0
